id,salary
332,"50-55,000"
333,50000
334,"65,000 - 85,000"
335,80-90.000
336,"> 75,000 "
337,up to 100.000
338,>45000
339,80000
340,Negotiable
341,50000-80000
342,50000-65000
343,"30,000 - 40,000€"
344,50.000-100.000
345,55-70k
346,"60,000-70,000"
347,€52.000 - €62.000
348,"70,000 € - 100,000 €"
349,60.000 - 70.000
350,"58,000 - 75,000"
351,50000€
352,60.000-70.000€
353,55000
354,50000-60000
355,60000
356,"55,000€ - 65,000€"
357,50.000€ - 80.000€
358,42.000
359,55000-65000
360,77000
361,45k - 80k
362,80-85.000€
363,from 65.000 €
364,60.000€ - 82.000€
365,75000-120000
366,50.000-80.000
367,negotiable
368,>55.000
369,70000
370,50K
371,"50,000"
372,70-79000
373,62.000 €
374,95.000
375,45000
376,60-70k
377,negotiable
378,40000
379,"60,000"
380,"40,000€-70,000€"
381,60000-110000
382,tbd
383,55 000 - 75 000
384,65.000 - 75.000
385,42000-48000
386,up to 85K
387,"70,000 - 80,000"
388,€40.000 - €60.000
389,60000
390,60.000 - 80.000
391,>55.000€
392,75000 - 85000
393,90000+
394,"55,000€"
395,60000-70000
396,"65,000€"
397,ab 60k
398,45000-55000
399,"50,000€ - 60,000€"
400,80 to 90K
401,"50,000 - 60,000 EUR"
402,"60,000 -80,000 €"
403,75.000 - 95.000
404,$50000 - $75000
405,>55.000
406,50.000 - 70.000
407,"50.000€ - 80,000€"
408,45000
409,55 000-75 000
410,95000 > 100000 +
411,55.000-75.0000
412,90'000
413,55000 - 65000
414,90000
415,70.000 - 85.000
416,45.000-55.000
417,55-70
418,"64,000 - 72,000"
419,50.000 €
420,50.000-60.000
421,40 000 - 60 000
422,40000€ - 50000€
423,€45-60k
424,80.000
425,"€ 65,000 neg."
426,30.000 - 40.000
427,40.000 - 50.000
428,65.000-95.000 €
429,70-80K
430,55000 - 70000
431,55000-70000
432,75.000
433,55.000 €
434,> €60.000
435,50000-60000
436,"45,000-60,000€"
437,>58 
438,75k
439,50 000 - 60 000
440,70000
441,45000-50000
442,70.000-85.000
443,"57,000+"
444,75-80.000€
445,90000-110000
446,"50,000€ - 60,000€"
447,40 000 - 60 000
448,70.000-80.000
449,€50.000 - €72.000
450,80.000
451,from 40k
452,"€65,000 - €80,000"
453,negotiable
454,80000-130000
455,80000
456,"55,000 € - 75,000€"
457,65.000 - 70.000
458,tbd.
459,55000 - 80000
460,65000
461,67.000€
462,"70-90,000"
463,30.000 - 50.000
464,65.000 - 90.000
465,65000 - 85000
466,To be Discussed
467,43.400 - 63.000
468,45000 - 55000
469,75000 - 85000
470,49.000-53.000 
471,"60,000-65,000"
472,from €60.000
473,60.000 EUR
474,55000-65000
475,40 000 - 60 000
476,45000
477,55000€ - 65000€
478,60 000 - 70 000
479,>60.000 
480,50.000 € - 60.000 €
481,"50,000-60.000€"
482,"€60,000-€70,000"
483,70000-80000
484,50000
485,50 - 60k
486,"45,000€ - 60,000€"
487,60000-110000
488,50.000 - 75.000€
489,90000
490,0 - 45000€
491,"75,000 - 85,000 EUR"
492,"65,000€"
493,68.000 - 75.000
494,75k-85k
495,70k
496,55000
497,80.000
498,€80.000 - €90.000
499,80.000
500,50000-60000
501,>85000
502,>90000
503,40.000€ - 55.000€
504,65000
505,60000-110000
506,50000-65000
507,around 65k
508,60.000 - 65.000€
509,tbd
510,65.000 - 70.000
511,70000
512,60.000-70.000
513,38.000€ - 55.000€
514,90000 - 110000
515,80000
516,110.000
517,70.000 - 85.000
518,€75000 - €80000
519,50.000 € - 60.000 €
520,"60,000-65,000+"
521,"60,000 - 65,000€"
522,€70-80k+
523,50.000-60.000
524,40-50k
525,65000
526,65-75
527,"50,000 - 55,000"
528,45000 - 50000€
529,60000
530,80.000 € to 90.000€
531,65000
532,65 000 - 75 000
533,40000-50000
534,50000 — 55000
